"section","np","x_over_c","eta","z_over_c","cp","surface","source"
"2","22","0.44897","0.44","0.04815","-0.647","upper","NASA Glenn ONERA M6 test 2308"
"2","21","0.49927","0.44","0.04652","-0.701","upper","NASA Glenn ONERA M6 test 2308"
"2","20","0.54927","0.44","0.04398","-0.374","upper","NASA Glenn ONERA M6 test 2308"
"2","19","0.59931","0.44","0.04083","-0.263","upper","NASA Glenn ONERA M6 test 2308"
"2","18","0.64917","0.44","0.03719","-0.213","upper","NASA Glenn ONERA M6 test 2308"
"2","17","0.70897","0.44","0.03229","-0.151","upper","NASA Glenn ONERA M6 test 2308"
"2","16","0.77912","0.44","0.02572","-0.081","upper","NASA Glenn ONERA M6 test 2308"
"2","15","0.84903","0.44","0.01826","0.01","upper","NASA Glenn ONERA M6 test 2308"
"2","14","0.91929","0.44","0.01032","0.109","upper","NASA Glenn ONERA M6 test 2308"
"2","13","0.98387","0.44","0.00283","0.211","upper","NASA Glenn ONERA M6 test 2308"
"3","12","0.94999","0.65","-0.00737","0.157","lower","NASA Glenn ONERA M6 test 2308"
"3","11","0.81986","0.65","-0.02152","-0.016","lower","NASA Glenn ONERA M6 test 2308"
"3","10","0.67008","0.65","-0.03553","-0.143","lower","NASA Glenn ONERA M6 test 2308"
"3","9","0.57033","0.65","-0.04272","-0.213","lower","NASA Glenn ONERA M6 test 2308"
"3","8","0.47037","0.65","-0.0476","-0.279","lower","NASA Glenn ONERA M6 test 2308"
"3","7","0.37009","0.65","-0.0489","-0.27","lower","NASA Glenn ONERA M6 test 2308"
"3","6","0.2701","0.65","-0.04716","-0.196","lower","NASA Glenn ONERA M6 test 2308"
"3","5","0.1701","0.65","-0.04224","-0.121","lower","NASA Glenn ONERA M6 test 2308"
"3","4","0.05016","0.65","-0.02975","-0.009","lower","NASA Glenn ONERA M6 test 2308"
"3","3","0.0201","0.65","-0.02275","0.026","lower","NASA Glenn ONERA M6 test 2308"
"3","2","0.00591","0.65","-0.01326","0.59","lower","NASA Glenn ONERA M6 test 2308"
"3","1","0.00042","0.65","0.00317","0.752","upper","NASA Glenn ONERA M6 test 2308"
